偏移	大小	类型	字符串
0020457b	0b	A	@_vsprintf
0020458c	08	A	@_write
0020459b	13	A	@_xmlFreeTextWriter
002045b5	18	A	@_xmlGetCharEncodingName
002045d4	12	A	@_xmlNewTextWriter
002045ed	19	A	@_xmlOutputBufferCreateIO
0020460d	1a	A	@_xmlTextWriterEndDocument
0020462e	19	A	@_xmlTextWriterEndElement
0020464e	1c	A	@_xmlTextWriterStartDocument
00204671	1b	A	@_xmlTextWriterStartElement
00204693	1d	A	@_xmlTextWriterWriteAttribute
002046e2	0c	A	QueryContext
002046f9	05	A	Table
00204701	05	A	Value
00204709	12	A	WriteCursorWrapper
00204726	10	A	ggregateFunction
00204737	1d	A	fttributesAsPredicateImporter
00204757	0e	A	verageFunction
0020477c	0b	A	AnyFunction
0020478a	0e	A	UniqueFunction
002047a3	05	A	hoose
002047b7	0c	A	lumnValueSet
002047c6	0b	A	untFunction
002047e2	10	A	llTextSearchSpec
002047f5	10	A	nctionInvocation
00204816	06	A	lValue
0020481f	05	A	orter
0020482d	06	A	Bundle
00204844	07	A	pRollUp
0020484e	0d	A	ximumFunction
0020486a	0e	A	inimumFunction
00204890	0f	A	BindingSolution
002048a2	08	A	Instance
002048ad	0c	A	SwiftWrapper
002048cf	0d	A	ingParameters
002048ed	0f	A	arrativeSupport
002048ff	07	A	oRollUp
00204917	0a	A	athManager
00204924	19	A	ercentageCapacityFunction
00204940	09	A	ivotArray
0020495d	0d	A	CreationAgent
0020496d	0b	A	UpdateAgent
0020498f	14	A	cessFromThreadRollup
002049a6	06	A	jector
002049bc	0b	A	UpdateAgent
002049e4	0c	A	angeFunction
002049f3	10	A	eadCursorWrapper
00204a06	07	A	owArray
00204a1c	0a	A	QueryAgent
00204a37	11	A	AggregateFunction
00204a4b	06	A	Rollup
00204a5c	0b	A	ingleColumn
00204a6a	18	A	tandardDeviationFunction
00204a85	0a	A	umFunction
00204aa4	0f	A	BindingsWrapper
00204ab6	06	A	Column
00204abf	05	A	Query
00204ae5	05	A	chema
00204b07	0c	A	AnalysisCore
00204b15	17	A	DescriptorSubstitutions
00204b2f	0f	A	EventDescriptor
00204b41	0f	A	FieldDescriptor
00204b53	0f	A	IndexedStorageT
00204b65	11	A	LaneLayoutManager
00204b79	07	A	Managed
00204b83	15	A	NumericSortDescriptor
00204b9b	0e	A	StorageManager
00204bac	1f	A	ValueTransformingSortDescriptor
00204be8	06	A	50_C22
00204bf1	09	A	64_CC32_R
00204c1a	07	A	50_CC22
00204c24	09	A	64_CC32_R
00204c44	05	A	Event
00204c4c	07	A	IDArray
00204c70	0a	A	CLASS_$_XR
00204c7d	09	A	IVAR_$_XR
00204c89	0e	A	METACLASS_$_XR
00204ca2	0a	A	parameters
00204caf	06	A	schema
00204cc0	13	A	AggregateFunction._
00204cd6	0a	A	Importer._
00204ce3	19	A	NarrativeSupport._factory
00204cff	14	A	Projector._projector
00204d16	0a	A	RowArray._
00204d23	14	A	SingleColumnRollup._
00204d3a	07	A	Value._
00204d53	08	A	prologue
00204d78	09	A	learCount
00204d96	0c	A	disconnected
00204da5	06	A	filter
00204dae	0b	A	newContents
00204dbc	07	A	tableID
00204de6	0f	A	EngineeringName
00204e05	06	A	column
00204e0e	09	A	inputType
00204e28	0e	A	ngineeringType
00204e39	0b	A	xternalImpl
00204e53	09	A	implClass
00204e5f	08	A	registry
00204e6a	0b	A	storedValue
00204e8c	0c	A	AnalysisCore
00204e9b	0e	A	ManagedEvent._
00204eac	17	A	NumericSortDescriptor._
00204ece	0a	A	identifier
00204edb	0e	A	storageManager
00204efa	05	A	Block
00204f18	0d	A	valueSelector
00204f52	0d	A	QueryContext
00204f69	06	A	Table
00204f71	06	A	Value
00204f79	13	A	WriteCursorWrapper
00204f97	10	A	ggregateFunction
00204faa	1c	A	ttributesAsPredicateImporter
00204fc9	0e	A	verageFunction
00204fee	0b	A	AnyFunction
00204ffc	0e	A	UniqueFunction
00205015	05	A	hoose
00205029	0c	A	lumnValueSet
00205038	0b	A	untFunction
00205054	10	A	llTextSearchSpec
00205067	10	A	nctionInvocation
00205088	06	A	lValue
00205091	05	A	orter
0020509f	06	A	Bundle
002050b6	07	A	pRollUp
002050c0	0d	A	ximumFunction
002050dc	0e	A	inimumFunction
002050ec	05	A	odel
00205102	0f	A	BindingSolution
00205113	09	A	Instance
0020511e	0d	A	SwiftWrapper
00205140	0e	A	ingParameters
0020515f	0f	A	arrativeSupport
00205170	08	A	oRollUp
00205189	0a	A	athManager
00205195	1a	A	ercentageCapacityFunction
002051b1	0a	A	ivotArray
002051cf	0d	A	CreationAgent
002051de	0c	A	UpdateAgent
00205201	14	A	cessFromThreadRollup
00205217	07	A	jector
0020522d	0c	A	UpdateAgent
00205256	0c	A	angeFunction
00205264	11	A	eadCursorWrapper
00205277	08	A	owArray
0020528e	0a	A	QueryAgent
002052a9	11	A	AggregateFunction
002052bc	07	A	Rollup
002052ce	0b	A	ingleColumn
002052db	19	A	tandardDeviationFunction
002052f6	0b	A	umFunction
00205316	0f	A	BindingsWrapper
00205327	07	A	Column
00205330	06	A	Query
00205357	05	A	chema
00205379	0c	A	AnalysisCore
00205388	17	A	DescriptorSubstitutions
002053a1	10	A	EventDescriptor
002053b3	10	A	FieldDescriptor
002053c5	10	A	IndexedStorageT
002053d7	12	A	LaneLayoutManager
002053eb	08	A	Managed
002053f5	16	A	NumericSortDescriptor
0020540d	0f	A	StorageManager
0020541e	20	A	ValueTransformingSortDescriptor
0020545b	06	A	50_C22
00205463	0a	A	64_CC32_R
0020548d	07	A	50_CC22
00205496	0a	A	64_CC32_R
002054b7	05	A	Event
002054be	08	A	IDArray
002054e3	05	A	OBJC_
002054fc	12	A	ColumnParameterKey
00205510	0c	A	ErrorDomain
0020551e	17	A	OutputNameParameterKey
0020553b	0b	A	ReadCursor
00205548	17	A	!SelectionsParameterKey
00205565	20	A	$UInt64ArrayResolverParameterKey
00205587	06	A	$Value
0020558f	0c	A	%WriteCursor
002055b2	13	A	DidMoveNotification
002055c7	0c	A	ErrorDomain
002055db	0a	A	OldURLKey
002055e7	08	A	Subpath
002055f1	15	A	WillMoveNotification
00205617	0a	A	SubpathKey
00205623	07	A	URLKey
00205641	13	A	ChangedNotification
0020566b	0a	A	athManager
00205677	20	A	ivotArraySignatureIsSpeculative
00205699	10	A	rojectionCursor
002056ba	08	A	Bookmark
002056c4	10	A	EngineeringType
002056d6	09	A	 ImplType
002056e1	0f	A	 MoveToBookmark
002056f2	05	A	 Next
002056fe	06	A	 Valid
00205727	07	A	adValue
00205730	07	A	 pQuery
00205750	07	A	!idency
0020576e	07	A	AtIndex
00205777	07	A	!Column
0020578b	0f	A	#MoveToBookmark
0020579c	05	A	#Next
002057a3	0a	A	#PackCount
002057b8	05	A	Count
002057bf	09	A	!ImplType
002057ca	0c	A	"StorageSize
002057ed	0b	A	ArrayForIID
002057fa	09	A	"Bookmark
